Vivado Simulator 2017.4
Time resolution is 1 ps
   Time Clk Rst Ld SftRg Data Sel
       0.0ns 0 1 0 xxxxx 00000 00
      50.0ns 1 1 0 00000 00000 00
     100.0ns 0 1 0 00000 00000 00
     150.0ns 1 1 0 00000 00000 00
     200.0ns 0 0 1 00000 00000 00
     250.0ns 1 0 1 00000 00000 00
     300.0ns 0 0 1 00000 00000 00
     350.0ns 1 0 1 00000 00000 00
     400.0ns 0 0 1 00000 00001 00
     450.0ns 1 0 1 00001 00001 00
     500.0ns 0 0 0 00001 00001 01
     550.0ns 1 0 0 00010 00001 01
     600.0ns 0 0 0 00010 00001 01
     650.0ns 1 0 0 00100 00001 01
     700.0ns 0 0 0 00100 00001 10
     750.0ns 1 0 0 00010 00001 10
     800.0ns 0 0 0 00010 00001 10
     850.0ns 1 0 0 00001 00001 10
     900.0ns 0 0 0 00001 00001 10
     950.0ns 1 0 0 00000 00001 10
    1000.0ns 0 0 0 00000 00001 10
